W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
NCR;5610;2276;15690;46300;4785;34482
NCR;19838;2204;23320;29950;7600;21732
NCR;3600;1534;8530;24700;3400;5394
NCR;5505;3960;18784;15600;6450;4992
NCR;12110;3016;11550;36000;8100;22440
NCR;17352;5479;28178;122700;9505;26400
NCR;9090;3880;27794;28100;13040;15000
NCR;21600;4376;16716;48000;23955;49998
NCR;18000;5406;70434;27450;10500;15048
NCR;0;1170;520;41840;12675;17202
NCR;13104;5805;9460;19260;2600;4608
NCR;19440;7996;38930;65250;17950;20598
NCR;9360;4218;23897;45720;3660;40560
NCR;11460;3352;5960;36400;3110;2610
NCR;28960;11228;41206;247850;19190;105576
NCR;3945;4096;20461;213720;8380;48336
NCR;27144;3242;15783;31795;1830;67374
NCR;11400;831;20297;34444;3640;19968
NCR;32850;2123;26862;37872;7910;39516
NCR;1425;2678;9380;13040;1710;3522
Central Luzon;16172;16040;41974;55220;4655;22308
Central Luzon;8880;4904;21130;22800;7260;16524
Central Luzon;21890;18460;35360;20450;4205;11538
Central Luzon;12558;7124;9364;850;1430;3402
Central Luzon;10710;6552;25780;34500;4550;53802
Central Luzon;8130;5928;18694;19840;2550;9000
Central Luzon;15258;13712;35083;100440;10925;37020
Central Luzon;11200;7080;21291;43880;21650;7122
Central Luzon;8090;9240;38100;41900;65688;76284
Central Luzon;5200;8268;13780;18750;20950;23502
Central Luzon;10218;6196;18120;41800;15450;30474
Central Luzon;10800;7440;27062;9360;6090;22572
Central Luzon;22548;1472;5438;7400;3670;468
Central Luzon;11370;6816;29283;12510;7460;14994
Central Luzon;11010;2571;7281;6130;3434;2652
Central Luzon;11398;4896;8606;540;3795;600
Central Luzon;8970;2939;9644;2130;5560;1674
Central Luzon;9350;4420;31602;21180;9885;4380
Central Luzon;16764;6680;5629;4070;3565;2604
Central Luzon;16748;2144;18860;12500;16200;35904
Central Luzon;17353;964;14320;20450;4130;7140
Central Luzon;9900;1896;1270;3400;735;900
Central Luzon;14170;1274;9276;11290;3015;900
Central Luzon;12795;1988;11154;5460;970;15882
Central Luzon;15300;1764;3978;5930;1890;300
Central Luzon;9000;6920;31778;77600;33540;57192
Central Luzon;8710;4212;11804;5670;2335;504
Central Luzon;11352;10660;46553;20500;4070;13116
Central Luzon;11400;11334;34372;61400;7300;42240
Central Luzon;9809;5356;23832;6400;2300;16200
Central Luzon;5214;3640;3995;28340;6700;57900
Central Luzon;13304;4340;15701;24680;22580;137154
Central Luzon;26260;12980;77270;32190;5150;662748
Central Luzon;9230;4420;16798;11460;4970;10380
Central Luzon;7890;7904;12364;11300;1500;33300
Central Luzon;12900;3162;15902;24400;1600;13440
Central Luzon;8050;1560;2835;0;1300;0
Central Luzon;7596;3874;42315;43200;9472;25428
Central Luzon;24000;1540;55620;14430;5298;24150
Central Luzon;48106;2780;9491;39180;4370;5460
Central Luzon;21542;8948;24777;27330;13005;22584
Central Luzon;11524;13304;20737;11680;8005;20076
Central Luzon;21425;23384;63814;42980;18063;33018
Central Luzon;23130;4130;4278;18743;1370;17418
Central Luzon;20760;1975;15397;28110;5295;81408
Central Luzon;6380;5686;8873;14290;7745;5442
Central Luzon;10800;2013;13400;4140;1385;600
Central Luzon;30550;8430;6809;17280;3060;2076
Central Luzon;8740;5518;3180;6500;3715;1920
Central Luzon;7641;4390;5463;0;3700;3852
Central Luzon;8658;8584;5842;6700;3505;6300
Central Luzon;10200;3662;12878;7800;1000;2736
Central Luzon;6072;5775;27174;39900;14686;32592
Central Luzon;19155;4210;8187;6435;555;5460
Central Luzon;21942;12394;61555;80680;14750;93096
Central Luzon;24846;3994;8821;7800;2491;3276
Central Luzon;24284;5940;4185;19552;720;19968
Central Luzon;10920;3692;7621;9100;940;1338
Central Luzon;24240;7212;15522;9660;4280;10890
Central Luzon;16320;8930;23530;10000;2870;35088
Central Luzon;10870;1730;5330;1040;0;312
Central Luzon;11440;7200;26560;27120;15290;5940
Central Luzon;16712;5992;15295;22380;5050;38328
Central Luzon;8863;12226;20880;20900;6115;3642
Central Luzon;14560;3423;19385;14820;2645;17550
Central Luzon;11700;1898;4978;5050;4600;2766
Central Luzon;6300;11276;46754;7950;8820;1800
Central Luzon;4290;3000;9502;3000;3380;1848
Central Luzon;31665;2770;8606;4800;1089;9498
Central Luzon;12600;6340;35461;25010;15085;25842
Central Luzon;10200;4814;12568;780;7400;3042
Central Luzon;20049;2668;16146;0;2940;4374
Central Luzon;15582;3406;13880;9540;495;5874
Central Luzon;19160;520;2040;9100;2760;7818
Central Luzon;8319;3640;7670;0;1190;20826
Central Luzon;20700;9148;26466;3770;9024;16902
Central Luzon;20670;4888;15550;2800;6135;19716
Central Luzon;7530;6868;32126;20500;8130;30840
Central Luzon;594;520;0;29484;250;0
Central Luzon;11352;2028;29428;36914;18406;65268
Central Luzon;17485;4410;3905;18720;3725;16560
Central Luzon;5451;1655;7164;19790;3530;3786
Central Luzon;19956;3900;23900;25500;4415;10578
Central Luzon;16450;10170;19521;17680;14775;36414
Central Luzon;4061;1446;11902;12480;11910;8394
Central Luzon;15774;676;10502;9800;2499;2772
